base,date,currency,rate
EUR,2025-05-27,AED,4.174218
EUR,2025-05-27,AFN,79.373901
EUR,2025-05-27,ALL,97.826688
EUR,2025-05-27,AMD,436.347106
EUR,2025-05-27,ANG,2.033946
EUR,2025-05-27,AOA,1042.726665
EUR,2025-05-27,ARS,1299.589386
EUR,2025-05-27,AUD,1.756819
EUR,2025-05-27,AWG,2.047096
EUR,2025-05-27,AZN,1.934608
EUR,2025-05-27,BAM,1.949755
EUR,2025-05-27,BBD,2.291495
EUR,2025-05-27,BDT,138.460703
EUR,2025-05-27,BGN,1.952368
EUR,2025-05-27,BHD,0.428435
EUR,2025-05-27,BIF,3377.926741
EUR,2025-05-27,BMD,1.136486
EUR,2025-05-27,BND,1.457082
EUR,2025-05-27,BOB,7.842684
EUR,2025-05-27,BRL,6.442058
EUR,2025-05-27,BSD,1.134881
EUR,2025-05-27,BTC,0.000010428537
EUR,2025-05-27,BTN,96.543666
EUR,2025-05-27,BWP,15.21383
EUR,2025-05-27,BYN,3.714084
EUR,2025-05-27,BYR,22275.131974
EUR,2025-05-27,BZD,2.279732
EUR,2025-05-27,CAD,1.562072
EUR,2025-05-27,CDF,3256.033121
EUR,2025-05-27,CHF,0.93472
EUR,2025-05-27,CLF,0.027872
EUR,2025-05-27,CLP,1069.581555
EUR,2025-05-27,CNY,8.187592
EUR,2025-05-27,CNH,8.169098
EUR,2025-05-27,COP,4718.691222
EUR,2025-05-27,CRC,576.11376
EUR,2025-05-27,CUC,1.136486
EUR,2025-05-27,CUP,30.116888
EUR,2025-05-27,CVE,109.92418
EUR,2025-05-27,CZK,24.862522
EUR,2025-05-27,DJF,202.09341
EUR,2025-05-27,DKK,7.457124
EUR,2025-05-27,DOP,66.792909
EUR,2025-05-27,DZD,149.955867
EUR,2025-05-27,EGP,56.619988
EUR,2025-05-27,ERN,17.047295
EUR,2025-05-27,ETB,154.286136
EUR,2025-05-27,EUR,1
EUR,2025-05-27,FJD,2.559139
